Version: Efe_Anil_Aksoz.v1
Processed Time: 07.03.2023 14:28:46
Xpower pedal data
Recording /Users/rehalab/Desktop/iXES_Anil/Test 2023/070323_GUI_xml/results/20230307133053/binary_ll.txt
fs: 30 Hz
Unit: force [N]
=================================
Timer	cadenceCount	AccRevTime	AccTimeStamp	Ftan	Frad	Feff	Angle	AngularVelocity	Amp	LeftPlsw	RightPlsw
172.370	+172	56.04	452.03	+49.10	-16.20	51.70348	20	3.67090	50	100	100
172.370	+172	56.04	452.03	+49.60	-17.80	52.69725	21	3.58887	50	100	100
172.370	+172	56.04	452.04	+49.10	-19.80	52.94195	22	3.51562	50	100	100
172.370	+172	56.04	452.04	+47.90	-21.10	52.34138	23	3.54688	50	100	100
172.370	+172	56.04	452.05	+46.30	-23.50	51.92244	24	3.59473	50	100	100
172.910	+172	56.04	452.60	-34.00	-53.50	63.38967	134	3.59961	50	100	100
172.910	+172	56.04	452.61	-35.90	-51.70	62.94204	135	3.59863	50	100	100
172.910	+172	56.04	452.61	-37.00	-51.00	63.00794	136	3.59961	50	100	100
172.910	+172	56.04	452.62	-37.30	-50.50	62.78169	137	3.60059	50	100	100
172.910	+172	56.04	452.62	-37.40	-50.30	62.68054	138	3.58691	50	100	100
173.254	+172	56.04	452.93	-67.00	-1.40	67.01463	204	3.54590	50	100	100
173.254	+172	56.04	452.94	-65.70	-0.80	65.70487	205	3.58203	50	100	100
173.254	+172	56.04	452.94	-65.50	-0.70	65.50374	206	3.51172	50	100	100
173.254	+172	56.04	452.95	-64.80	-0.40	64.80123	207	3.39941	50	100	100
173.254	+172	56.04	452.95	-63.20	+0.30	63.20071	209	3.41797	50	100	100
174.379	+173	57.83	454.02	+33.50	-40.50	52.55949	56	3.19434	50	100	100
174.379	+173	57.83	454.03	+32.80	-41.60	52.97547	57	3.21582	50	100	100
174.379	+173	57.83	454.03	+31.80	-42.60	53.16014	58	3.15039	50	100	100
174.379	+173	57.83	454.04	+30.70	-43.90	53.56958	59	3.17090	50	100	100
174.379	+173	57.83	454.04	+30.30	-44.20	53.58852	60	3.25098	50	100	100
176.470	+173	57.83	456.14	-28.00	-55.80	62.43108	132	3.78418	50	100	100
176.470	+173	57.83	456.14	-28.90	-56.50	63.46227	133	3.80176	50	100	100
176.470	+173	57.83	456.15	-30.10	-57.10	64.54781	134	3.84277	50	100	100
176.470	+173	57.83	456.15	-31.20	-57.60	65.50725	135	3.86621	50	100	100
176.470	+173	57.83	456.16	-32.90	-57.90	66.59444	136	3.87988	50	100	100
176.628	+173	57.83	456.32	-58.20	-36.30	68.59249	174	4.41309	50	100	100
176.628	+173	57.83	456.32	-58.40	-34.20	67.67717	175	4.40625	50	100	100
176.628	+173	57.83	456.33	-58.20	-32.90	66.85544	176	4.39941	50	100	100
176.628	+173	57.83	456.33	-57.70	-32.20	66.07670	177	4.40039	50	100	100
176.628	+173	57.83	456.34	-58.50	-30.50	65.97348	179	4.38672	50	100	100
178.420	+173	57.83	458.07	-64.30	-20.70	67.54983	192	4.31250	50	100	100
178.420	+173	57.83	458.07	-65.00	-18.70	67.63645	193	4.28320	50	100	100
178.420	+173	57.83	458.08	-65.20	-17.90	67.61250	194	4.22461	50	100	100
178.420	+173	57.83	458.08	-65.70	-16.50	67.74024	196	4.23438	50	100	100
178.420	+173	57.83	458.09	-64.90	-16.00	66.84317	197	4.26465	50	100	100
180.857	+173	57.83	460.52	+42.90	+21.50	47.98604	352	4.03320	50	100	100
180.857	+173	57.83	460.52	+44.20	+19.40	48.27007	353	4.01758	50	100	100
180.857	+173	57.83	460.53	+45.00	+17.80	48.39256	354	4.05957	50	100	100
180.857	+173	57.83	460.53	+44.80	+17.70	48.16980	356	4.06250	50	100	100
180.857	+173	57.83	460.54	+44.90	+17.30	48.11756	357	4.04102	50	100	100
183.740	+173	57.83	463.41	-57.80	+27.00	63.79530	232	3.07129	50	100	100
183.740	+173	57.83	463.42	-56.60	+28.40	63.32551	232	3.09766	50	100	100
183.740	+173	57.83	463.42	-55.70	+31.70	64.08884	233	3.17090	50	100	100
183.740	+173	57.83	463.43	-54.60	+32.40	63.48953	234	3.16406	50	100	100
183.740	+173	57.83	463.43	-54.80	+32.70	63.81481	235	3.07324	50	100	100
185.090	+173	57.83	464.74	+7.70	-41.50	42.20829	95	2.33008	50	100	100
185.090	+173	57.83	464.75	+7.60	-41.50	42.19016	96	2.32520	50	100	100
185.090	+173	57.83	464.75	+7.50	-41.30	41.97547	96	2.35645	50	100	100
185.090	+173	57.83	464.76	+7.40	-41.00	41.66245	97	2.38965	50	100	100
185.090	+173	57.83	464.76	+6.90	-40.90	41.47795	98	2.41309	50	100	100
189.545	+173	57.83	469.21	-32.90	-54.00	63.23298	136	3.30078	50	100	100
189.545	+173	57.83	469.22	-33.50	-54.00	63.54723	137	3.32520	50	100	100
189.545	+173	57.83	469.22	-35.50	-53.60	64.29005	138	3.37695	50	100	100
189.545	+173	57.83	469.23	-38.20	-54.50	66.55441	139	3.42188	50	100	100
189.545	+173	57.83	469.23	-39.40	-54.60	67.33142	140	3.38965	50	100	100
191.616	+173	57.83	471.29	-41.80	-55.90	69.80007	143	3.33594	50	100	100
191.616	+173	57.83	471.30	-43.50	-56.70	71.46426	144	3.35938	50	100	100
191.616	+173	57.83	471.30	-44.60	-57.30	72.61164	145	3.37012	50	100	100
191.616	+173	57.83	471.31	-44.80	-57.30	72.73465	146	3.37891	50	100	100
191.616	+173	57.83	471.31	-46.80	-57.60	74.21590	147	3.44043	50	100	100
193.768	+173	57.83	473.44	-59.00	-34.00	68.09552	177	3.60938	50	100	100
193.768	+173	57.83	473.44	-60.50	-33.90	69.35027	178	3.65820	50	100	100
193.768	+173	57.83	473.45	-60.50	-33.90	69.35027	179	3.63672	50	100	100
193.768	+173	57.83	473.45	-61.00	-33.00	69.35416	180	3.61719	50	100	100
193.768	+173	57.83	473.46	-61.10	-32.70	69.30007	181	3.62500	50	100	100
193.972	+173	57.83	473.65	-60.00	+8.00	60.53098	221	3.36426	50	100	100
193.972	+173	57.83	473.65	-60.70	+10.40	61.58449	222	3.43359	50	100	100
193.972	+173	57.83	473.66	-59.30	+13.00	60.70824	223	3.43555	50	100	100
193.972	+173	57.83	473.66	-59.20	+15.00	61.07078	224	3.40625	50	100	100
193.972	+173	57.83	473.67	-60.00	+17.50	62.50000	225	3.43066	50	100	100
194.377	+173	57.83	474.04	-1.90	+56.20	56.23211	293	3.21680	50	100	100
194.377	+173	57.83	474.04	-1.80	+56.20	56.22882	294	3.18164	50	100	100
194.377	+173	57.83	474.05	-1.50	+56.40	56.41994	295	3.18262	50	100	100
194.377	+173	57.83	474.05	+0.10	+55.50	55.50009	296	3.23242	50	100	100
194.377	+173	57.83	474.06	+2.50	+55.80	55.85598	297	3.25391	50	100	100
195.380	+173	57.83	475.07	-14.70	-48.50	50.67879	123	3.14355	50	100	100
195.380	+173	57.83	475.07	-15.90	-49.00	51.51514	123	3.21777	50	100	100
195.380	+173	57.83	475.08	-16.90	-50.00	52.77888	124	3.21875	50	100	100
195.380	+173	57.83	475.08	-18.60	-50.80	54.09806	125	3.20312	50	100	100
195.380	+173	57.83	475.09	-18.60	-50.80	54.09806	126	3.23145	50	100	100
196.355	+173	57.83	476.03	+24.80	+42.30	49.03397	321	3.48145	50	100	100
196.355	+173	57.83	476.04	+25.30	+39.60	46.99202	322	3.43262	50	100	100
196.355	+173	57.83	476.04	+26.00	+38.10	46.12602	323	3.44629	50	100	100
196.355	+173	57.83	476.05	+26.20	+37.50	45.74593	324	3.48926	50	100	100
196.355	+173	57.83	476.05	+26.20	+37.00	45.33696	325	3.50684	50	100	100
199.730	+173	57.83	479.41	-9.10	+53.80	54.56418	287	3.59961	50	100	100
199.730	+173	57.83	479.42	-8.20	+53.90	54.52018	288	3.67188	50	100	100
199.730	+173	57.83	479.42	-6.90	+53.90	54.33986	289	3.59082	50	100	100
199.730	+173	57.83	479.43	-5.30	+53.50	53.76188	290	3.53906	50	100	100
199.730	+173	57.83	479.43	-4.70	+53.00	53.20799	291	3.55078	50	100	100
202.385	+173	57.83	482.07	-9.10	-45.10	46.00891	117	3.15625	50	100	100
202.385	+173	57.83	482.07	-9.70	-45.00	46.03357	118	3.14453	50	100	100
202.385	+173	57.83	482.08	-10.50	-45.30	46.50097	119	3.17578	50	100	100
202.385	+173	57.83	482.08	-10.70	-45.40	46.64386	120	3.17578	50	100	100
202.385	+173	57.83	482.09	-12.60	-45.70	47.40517	121	3.16602	50	100	100
206.224	+173	57.83	485.90	-63.00	-27.60	68.78052	183	3.88867	50	100	100
206.224	+173	57.83	485.91	-63.00	-27.00	68.54196	184	3.87402	50	100	100
206.224	+173	57.83	485.91	-63.50	-26.00	68.61669	185	3.89453	50	100	100
206.224	+173	57.83	485.92	-63.50	-25.50	68.42880	186	3.93359	50	100	100
206.224	+173	57.83	485.92	-63.60	-25.40	68.48445	187	3.92578	50	100	100
209.556	+173	57.83	489.22	-54.40	-56.90	78.72084	153	4.12402	50	100	100
209.556	+173	57.83	489.23	-56.40	-57.10	80.25815	154	4.15625	50	100	100
209.556	+173	57.83	489.23	-58.50	-57.10	81.74754	155	4.15820	50	100	100
209.556	+173	57.83	489.24	-60.30	-57.70	83.45885	156	4.12402	50	100	100
209.556	+173	57.83	489.24	-62.80	-56.40	84.40853	158	4.16992	50	100	100
211.266	+173	57.83	490.94	-58.40	-56.90	81.53631	151	4.07324	50	100	100
211.266	+173	57.83	490.95	-59.50	-56.50	82.05181	152	4.08203	50	100	100
211.266	+173	57.83	490.95	-62.60	-55.10	83.39526	153	4.11426	50	100	100
211.266	+173	57.83	490.96	-65.50	-56.50	86.50145	154	4.10352	50	100	100
211.266	+173	57.83	490.96	-65.70	-56.60	86.71822	156	4.08691	50	100	100
213.050	+173	57.83	492.73	-68.20	-55.50	87.92889	159	4.18262	50	100	100
213.050	+173	57.83	492.73	-68.50	-54.60	87.59800	160	4.20605	50	100	100
213.050	+173	57.83	492.74	-68.50	-53.30	86.79366	162	4.24902	50	100	100
213.050	+173	57.83	492.74	-68.00	-53.00	86.21485	163	4.20410	50	100	100
213.050	+173	57.83	492.75	-68.40	-52.00	85.92182	164	4.17090	50	100	100
213.393	+173	57.83	493.06	-50.90	+34.40	61.43427	236	3.78418	50	100	100
213.393	+173	57.83	493.06	-51.20	+35.40	62.24629	237	3.82422	50	100	100
213.393	+173	57.83	493.07	-51.10	+36.30	62.68094	238	3.80273	50	100	100
213.393	+173	57.83	493.07	-51.40	+37.70	63.74363	239	3.78027	50	100	100
213.393	+173	57.83	493.08	-49.70	+39.00	63.17507	240	3.79492	50	100	100
214.429	+173	57.83	494.05	+19.80	-42.50	46.88593	82	3.40723	50	100	100
