Version: Efe_Anil_Aksoz.v1
Processed Time: 07.03.2023 14:28:49
Xpower pedal data
Recording /Users/rehalab/Desktop/iXES_Anil/Test 2023/070323_GUI_xml/results/20230307133053/binary_ra.txt
fs: 30 Hz
Unit: force [N]
=================================
Timer	cadenceCount	AccRevTime	AccTimeStamp	Ftan	Frad	Feff	Angle	AngularVelocity	Amp	LeftPlsw	RightPlsw
161.615	 +0	15.17	444.68	-37.90	-21.30	43.47528	240	0.00000	50	100	100
161.615	 +0	15.17	444.68	-38.70	-20.50	43.79429	240	0.00000	50	100	100
161.615	 +0	15.17	444.68	-38.70	-20.50	43.79429	240	0.00000	50	100	100
161.615	 +0	15.17	444.68	-38.90	-20.50	43.97113	240	0.00000	50	100	100
161.615	 +0	15.17	444.68	-39.00	-20.70	44.15303	240	0.00000	50	100	100
161.645	 +0	15.17	444.73	-54.00	-12.20	55.36100	252	3.57715	50	100	100
161.645	 +0	15.17	444.73	-54.50	-11.80	55.76280	253	3.63965	50	100	100
161.645	 +0	15.17	444.74	-55.40	-11.70	56.62199	254	3.65430	50	100	100
161.645	 +0	15.17	444.74	-56.70	-12.50	58.06152	256	3.65332	50	100	100
161.645	 +0	15.17	444.75	-57.00	-12.30	58.31201	257	3.66699	50	100	100
162.981	 +1	16.92	446.04	-8.10	-26.30	27.51908	168	3.35547	50	100	100
162.981	 +1	16.92	446.05	-8.20	-26.30	27.54868	169	3.36426	50	100	100
162.981	 +1	16.92	446.05	-8.20	-26.30	27.54868	170	3.37402	50	100	100
162.981	 +1	16.92	446.06	-7.90	-25.90	27.07804	171	3.38379	50	100	100
162.981	 +1	16.92	446.06	-7.70	-25.70	26.82872	172	3.39551	50	100	100
163.565	 +1	16.92	446.64	-40.50	-7.40	41.17050	294	3.27051	50	100	100
163.565	 +1	16.92	446.65	-40.90	-7.20	41.52891	295	3.27246	50	100	100
163.565	 +1	16.92	446.65	-41.40	-6.80	41.95474	296	3.28613	50	100	100
163.565	 +1	16.92	446.66	-42.10	-7.40	42.74541	297	3.28906	50	100	100
163.565	 +1	16.92	446.66	-43.50	-7.10	44.07562	298	3.25586	50	100	100
