Version: Efe_Anil_Aksoz.v1
Processed Time: 06.06.2023 14:23:43
Xpower pedal data
Recording /Volumes/fbm/Projects/Team IRPT/Projekte/GBY-FES-Innosuisse/06_Codes_Scripts/00_Main/iXES_0323_ramp/results/20230606132259/binary_ra.txt
fs: 30 Hz
Unit: force [N]
=================================
Timer	cadenceCount	AccRevTime	AccTimeStamp	Ftan	Frad	Feff	Angle	AngularVelocity	Amp	LeftPlsw	RightPlsw
5.474	 +0	47.55	76.38	-72.20	-124.30	143.74745	292	0.00000	21	100	100
5.474	 +0	47.55	76.38	-71.90	-124.30	143.59701	292	0.00000	21	100	100
5.474	 +0	47.55	76.38	-71.40	-123.80	142.91396	292	0.00000	21	100	100
5.474	 +0	47.55	76.38	-70.30	-124.10	142.62854	292	0.00000	21	100	100
5.474	 +0	47.55	76.39	-69.70	-124.40	142.59541	292	0.00000	21	100	100
5.892	 +1	49.45	76.78	-19.60	-104.30	106.12563	34	3.88867	23	100	100
5.892	 +1	49.45	76.78	-18.20	-105.50	107.05835	36	3.83789	23	100	100
5.892	 +1	49.45	76.79	-17.20	-106.30	107.68254	37	3.81445	23	100	100
5.892	 +1	49.45	76.79	-16.30	-106.60	107.83900	38	3.82617	23	100	100
5.892	 +1	49.45	76.80	-15.00	-107.60	108.64051	39	3.86328	23	100	100
9.129	 +1	49.45	80.00	-33.70	-82.40	89.02500	33	2.40137	36	100	100
9.129	 +1	49.45	80.01	-33.70	-83.60	90.13684	33	2.34375	36	100	100
9.129	 +1	49.45	80.01	-33.80	-85.20	91.65959	34	2.27832	36	100	100
9.129	 +1	49.45	80.02	-32.30	-87.20	92.98995	35	2.22168	36	100	100
9.129	 +1	49.45	80.02	-31.40	-89.10	94.47100	35	2.17285	36	100	100
9.251	 +1	49.45	80.12	-9.20	-102.00	102.41406	44	1.14551	37	100	100
9.251	 +1	49.45	80.13	-8.90	-103.30	103.68269	45	1.09180	37	100	100
9.251	 +1	49.45	80.13	-9.00	-103.50	103.89057	45	1.03516	37	100	100
9.251	 +1	49.45	80.14	-9.10	-104.50	104.89547	45	0.98633	37	100	100
